Nadawca,Odbiorca,Kwota,Data,Opis
Gospodarstwo Rolne A,Zakład Przetwórczy,85000.00,2024-01-10,Warzywa świeże - 50 ton
Gospodarstwo Rolne B,Zakład Przetwórczy,72000.00,2024-01-12,Owoce sezonowe - 40 ton
Gospodarstwo Rolne C,Zakład Przetwórczy,95000.00,2024-01-15,Zboża - 80 ton
Zakład Przetwórczy,Producent Opakowań,25000.00,2024-01-20,Opakowania szklane
Zakład Przetwórczy,Firma Logistyczna,18000.00,2024-01-25,Transport chłodniczy
Zakład Przetwórczy,Sieć Supermarketów,285000.00,2024-02-01,Produkty przetworzone
Sieć Supermarketów,Konsumenci Finalni,410000.00,2024-02-28,Sprzedaż detaliczna
Gospodarstwo Rolne A,Zakład Przetwórczy,88000.00,2024-03-10,Warzywa świeże - 52 ton
Zakład Przetwórczy,Restauracje,45000.00,2024-03-15,Dostawy HoReCa
Sieć Supermarketów,Zakład Przetwórczy,8000.00,2024-03-20,Zwrot produktów

