Nadawca,Odbiorca,Kwota,Data,Opis
Fundusz VC Alpha,StartupTech Inc,500000.00,2024-01-10,Rundy seed
Fundusz VC Beta,StartupTech Inc,750000.00,2024-01-10,Rundy seed
Angel Investor,StartupTech Inc,100000.00,2024-01-15,Inwestycja anioła
StartupTech Inc,Agencja Marketingowa,80000.00,2024-02-01,Kampania marketingowa
StartupTech Inc,Dostawca Cloud,45000.00,2024-02-05,Usługi AWS
StartupTech Inc,Firma Rekrutacyjna,35000.00,2024-02-10,Rekrutacja zespołu
StartupTech Inc,Software House,120000.00,2024-02-15,Rozwój produktu
Klienci B2B,StartupTech Inc,280000.00,2024-03-01,Pierwsze przychody
Klienci B2B,StartupTech Inc,350000.00,2024-04-01,Miesięczne przychody
StartupTech Inc,Fundusz VC Alpha,50000.00,2024-04-15,Zwrot pożyczki
StartupTech Inc,Agencja Marketingowa,95000.00,2024-04-20,Kampania Q2
Fundusz VC Gamma,StartupTech Inc,1200000.00,2024-05-01,Runda A

