Nadawca,Odbiorca,Kwota,Data,Opis
Ministerstwo Edukacji,Uniwersytet Publiczny,2500000.00,2024-01-05,Dotacja roczna - Q1
Studenci - Czesne,Uniwersytet Publiczny,450000.00,2024-01-31,Opłaty za studia
Projekty Badawcze EU,Uniwersytet Publiczny,800000.00,2024-01-15,Granty naukowe
Uniwersytet Publiczny,Wydawnictwo Naukowe,120000.00,2024-02-01,Publikacje i podręczniki
Uniwersytet Publiczny,Pracownicy Naukowi,1800000.00,2024-02-01,Wynagrodzenia
Uniwersytet Publiczny,Dostawcy IT,180000.00,2024-02-10,Infrastruktura IT
Uniwersytet Publiczny,Firma Budowlana,450000.00,2024-02-15,Remont budynków
Uniwersytet Publiczny,Laboratorium Badawcze,280000.00,2024-02-20,Sprzęt laboratoryjny
Studenci - Czesne,Uniwersytet Publiczny,480000.00,2024-02-28,Opłaty za studia - luty
Uniwersytet Publiczny,Konferencje Naukowe,95000.00,2024-03-01,Organizacja wydarzeń

