Nadawca,Odbiorca,Kwota,Data,Opis
Eksporter Polski,Import-Export USA,450000.00,2024-01-10,Meble drewniane
Eksporter Polski,Import-Export Niemcy,380000.00,2024-01-15,Wyroby skórzane
Import-Export USA,Dystrybutor USA,520000.00,2024-02-01,Marża + koszty
Import-Export Niemcy,Dystrybutor Niemcy,440000.00,2024-02-05,Marża + koszty
Dystrybutor USA,Sieć Retail USA,680000.00,2024-02-20,Sprzedaż hurtowa
Dystrybutor Niemcy,Sieć Retail Niemcy,570000.00,2024-02-25,Sprzedaż hurtowa
Sieć Retail USA,Konsumenci,890000.00,2024-03-15,Sprzedaż końcowa
Sieć Retail Niemcy,Konsumenci,740000.00,2024-03-20,Sprzedaż końcowa
Eksporter Polski,Import-Export Francja,290000.00,2024-03-01,Ceramika
Import-Export Francja,Dystrybutor Francja,350000.00,2024-03-15,Marża + koszty

